description,category
 Archer-Daniels-Midland Company procures  transports  stores  processes  and merchandises agricultural commodities  products  and ingredients in the United States and internationally. The company operates through three segments:,Lifestyle & Consumer
 Arconic Corporation manufactures and sells aluminum sheets  plates  extrusions  and architectural products in the United States  Hungary  Russia  China  France  the United Kingdom  and internationally.,Lifestyle & Consumer
 Arthur J. Gallagher & Co.  together with its subsidiaries  provides insurance brokerage  consulting  and third party claims settlement and administration services in the United States ,Finance & Investment
 Assurant  Inc.  together with its subsidiaries  provides lifestyle and housing solutions that support  protect  and connect consumer purchases in North America  Latin America  Europe  and,Finance & Investment
 AT&T Inc. provides telecommunication  media  and technology services worldwide. The company operates through four segments: Communications  WarnerMedia  Latin America  and Xandr. The Communications segment provides,Lifestyle & Consumer
 Autodesk  Inc. operates as a software design and services company worldwide. The company offers AutoCAD  a professional design  drafting  detailing  and visualization software; AutoCAD Civil,Data/Technology
 Automatic Data Processing  Inc. provides cloud-based human capital management solutions worldwide. It operates through two segments  Employer Services and Professional Employer Organization (PEO). The Employer,Data/Technology
 AutoZone  Inc. retails and distributes automotive replacement parts and accessories. The company offers various products for cars  sport utility vehicles  vans  and light trucks  including,Lifestyle & Consumer
 As of September the Company owned or held a direct or indirect ownership interest in  apartment communities containing apartment homes in,Lifestyle & Consumer
 Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide. The company's Label and Graphic Materials segment offers pressure-sensitive label and packaging materials; and graphics and,Lifestyle & Consumer
 Ball Corporation supplies aluminum packaging products to the beverage  personal care  automotive  paint  healthcare  and household products industries. It operates in four segments: Beverage Packaging ,Lifestyle & Consumer
 Bank of America Corporation  through its subsidiaries  provides banking and financial products and services for individual consumers  small- and middle-market businesses  institutional investors  large corporations ,Finance & Investment
 Baxter International Inc.  through its subsidiaries  develops and provides a portfolio of healthcare products. The company operates through North and South America; Europe  Middle East,Healthcare
 Becton  Dickinson and Company develops  manufactures  and sells medical supplies  devices  laboratory equipment  and diagnostic products worldwide. The company's BD Medical segment offers peripheral IV,Healthcare
 Biogen Inc. discovers  develops  manufactures  and delivers therapies for treating neurological and neurodegenerative diseases worldwide. The company offers TECFIDERA  AVONEX  PLEGRIDY  TYSABRI  and FAMPYRA for,Healthcare
 BlackRock  Inc. is a publicly owned investment manager. The firm primarily provides its services to institutional  intermediary  and individual investors including corporate  public  union  and,Finance & Investment
 H&R Block  Inc.  through its subsidiaries  provides assisted income tax return preparation  do-it-yourself (DIY) tax  and virtual tax preparation services and products to the general,Finance & Investment
 The Boeing Company  together with its subsidiaries  designs  develops  manufactures  sales  services  and supports commercial jetliners  military aircraft  satellites  missile defense  human space flight and,Lifestyle & Consumer
 BorgWarner Inc. provides solutions for combustion  hybrid  and electric vehicles worldwide. The company's Engine segment offers turbocharger and turbocharger actuators; eBoosters; and timing systems products ,Lifestyle & Consumer
 Boston Properties (NYSE: BXP) is the largest publicly-held developer and owner of Class A office properties in the United States  concentrated in five markets -,Lifestyle & Consumer
 Boston Scientific Corporation develops  manufactures  and markets medical devices for use in various interventional medical specialties worldwide. It operates through three segments: MedSurg  Rhythm and,Healthcare
 Brighthouse Financial  Inc. provides annuity and life insurance products in the United States. It operates through three segments: Annuities  Life  and Run-off. The Annuities segment,Finance & Investment
 Bristol-Myers Squibb Company discovers  develops  licenses  manufactures  markets  distributes  and sells biopharmaceutical products worldwide. It offers products in hematology  oncology  cardiovascular  and immunology therapeutic classes.,Healthcare
 Broadcom Inc. designs  develops  and supplies a range of semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based,Data/Technology
 Cabot Oil & Gas Corporation  an independent oil and gas company  explores for  exploits  develops  produces  and markets oil and gas properties in the United,Energy
 Cadence Design Systems  Inc. provides software  hardware  services  and reusable integrated circuit (IC) design blocks worldwide. The company offers functional verification services  including emulation and,Data/Technology
 Campbell Soup Company  together with its subsidiaries  engages in the manufacture and market food and beverage products. It operates through Meals & Beverages and Snacks,Lifestyle & Consumer
 Capital One Financial Corporation operates as the financial services holding company for the Capital One Bank (USA)  National Association; and Capital One  National Association  which,Finance & Investment
 Cardinal Health  Inc. operates as an integrated healthcare services and products company in the United States and internationally. It provides customized solutions for hospitals  healthcare,Healthcare
 CarMax  Inc.  through its subsidiaries  operates as a retailer of used vehicles in the United States. The company operates in two segments  CarMax Sales Operations,Lifestyle & Consumer
 Carnival Corporation & Plc operates as a leisure travel company. The company's ships visit approximately ports under the Carnival Cruise Line  Princess Cruises  Holland,Lifestyle & Consumer
 Caterpillar Inc. manufactures and sells construction and mining equipment  diesel and natural gas engines  and industrial gas turbines. Its Construction Industries segment offers asphalt pavers ,Lifestyle & Consumer
 Cboe Global Markets  Inc.  through its subsidiaries  operates as an options exchange in the United States. It operates in five segments: Options  U.S. Equities  Futures ,Finance & Investment
 Cerner Corporation  together with its subsidiaries  provides health care information technology solutions and tech-enabled services in the United States and internationally. The company offers Cerner,Healthcare
 CF Industries Holdings  Inc. manufactures and distributes nitrogen fertilizers and other nitrogen products worldwide. Its principal nitrogen fertilizer products include anhydrous ammonia  granular urea  urea,Healthcare
 The Charles Schwab Corporation  through its subsidiaries  provides wealth management  securities brokerage  banking  asset management  custody  and financial advisory services. The company operates through two,Finance & Investment
 Charter Communications  Inc.  through its subsidiaries  provides cable services to residential and commercial customers in the United States. It offers subscription-based video services  including video,Lifestyle & Consumer
 Chevron Corporation  through its subsidiaries  engages in integrated energy  chemicals  and petroleum operations worldwide. The company operates in two segments  Upstream and Downstream. The Upstream,Energy
 Chipotle Mexican Grill  Inc.  together with its subsidiaries  operates Chipotle Mexican Grill restaurants.  it operated approximately restaurants in the,Lifestyle & Consumer
 Chubb Limited  through its subsidiaries  provides insurance and reinsurance products worldwide. The company's North America Commercial P&C Insurance segment offers commercial property  marine  casualty  workers',Finance & Investment
 Church & Dwight Co.  Inc. develops  manufactures  and markets household  personal care  and specialty products in the United States and internationally. It operates in three,Lifestyle & Consumer
 Cigna Corporation provides insurance and related products and services. It operates through Health Services  Integrated Medical  International Markets  and Group Disability and Other segments. The,Healthcare
 Cimarex Energy Co. operates as an independent oil and gas exploration and production company primarily in Texas  Oklahoma  and New Mexico. As of December,Energy
 Cincinnati Financial Corporation  together with its subsidiary  provides property casualty insurance products in the United States. The company operates in five segments: Commercial Lines Insurance ,Finance & Investment
 Cintas Corporation provides corporate identity uniforms and related business services primarily in North America  Latin America  Europe  and Asia. It operates through Uniform Rental and,Lifestyle & Consumer
 Cisco Systems  Inc. designs  manufactures  and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas ,Data/Technology
 Citigroup Inc.  a diversified financial services holding company  provides various financial products and services to consumers  corporations  governments  and institutions in North America  Latin America ,Finance & Investment
 Citizens Financial Group  Inc. operates as the bank holding company for Citizens Bank  National Association that provides retail and commercial banking products and services in,Finance & Investment
 Citrix Systems  Inc. provides workspace  networking  and professional services worldwide. The company offers workspace services  including Citrix Virtual Apps and Desktops; Citrix Content Collaboration  a,Data/Technology
 CME Group Inc.  through its subsidiaries  operates contract markets for the trading of futures and options on futures contracts worldwide. It offers futures and options,Finance & Investment
 CMS Energy Corporation operates as an energy company primarily in Michigan. The company operates in four segments: Electric Utility  Gas Utility  Enterprises  and EnerBank. The,Energy
 The Coca-Cola Company  a beverage company  manufactures  markets  and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; water  enhanced water  and sports,Lifestyle & Consumer
 Cognizant Technology Solutions Corporation  a professional services company  provides consulting and technology  and outsourcing services in North America  Europe  and internationally. The company operates through,Data/Technology
 Colgate-Palmolive Company  together with its subsidiaries  manufactures and sells consumer products worldwide. The company operates through two segments  Oral  Personal and Home Care; and Pet,Lifestyle & Consumer
 Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications  Cable Networks  Broadcast Television  Filmed Entertainment  Theme Parks  and Sky,Lifestyle & Consumer
 Comerica Incorporated  through its subsidiaries  provides various financial products and services. It operates through three segments: Business Bank  Retail Bank  and Wealth Management. The Business,Finance & Investment
 Conagra Brands  Inc.  together with its subsidiaries  operates as a consumer packaged goods food company in North America. The company operates through Grocery & Snacks ,Lifestyle & Consumer
 Concho Resources Inc.  an independent oil and natural gas company  engages in the acquisition  development  and exploration of oil and natural gas properties in the,Energy
 ConocoPhillips explores for  produces  transports  and markets crude oil  bitumen  natural gas  liquefied natural gas (LNG)  and natural gas liquids worldwide. The company primarily engages,Energy
 Consolidated Edison  Inc.  through its subsidiaries  engages in regulated electric  gas  and steam delivery businesses in the United States. The company offers electric services to,Energy
 Constellation Brands  Inc.  together with its subsidiaries  produces  imports  and markets beer  wine  and spirits in the United States  Canada  Mexico  New Zealand  and Italy.,Lifestyle & Consumer
 Corning Incorporated engages in display technologies  optical communications  environmental technologies  specialty materials  and life sciences businesses worldwide. The company's Display Technologies segment offers glass substrates,Data/Technology
 Costco Wholesale Corporation  together with its subsidiaries  engages in the operation of membership warehouses in the United States  Puerto Rico  Canada  the United Kingdom  Mexico ,Lifestyle & Consumer
 Coty Inc.  together with its subsidiaries  manufactures  markets  distributes  and sells beauty products worldwide. The company provides prestige fragrances  skin care  and color cosmetics products,Lifestyle & Consumer
 Crown Castle owns  operates and leases more than cell towers and approximately route miles of fiber supporting small cells and fiber solutions across,Lifestyle & Consumer
 Danaher Corporation designs  manufactures  and markets professional  medical  industrial  and commercial products and services worldwide. The company operates through three segments; Life Sciences  Diagnostics  and,Healthcare
 Darden Restaurants  Inc.  through its subsidiaries  owns and operates full-service restaurants in the United States and Canada. As of it owned and,Lifestyle & Consumer
 DaVita Inc. provides kidney dialysis services for patients suffering from chronic kidney failure or end stage renal disease (ESRD). The company operates kidney dialysis centers,Healthcare
 Deere & Company  together with its subsidiaries  manufactures and distributes various equipment worldwide. The company operates through three segments: Agriculture and Turf  Construction and Forestry ,Lifestyle & Consumer
 Delta Air Lines  Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments  Airline,Lifestyle & Consumer
 DENTSPLY SIRONA Inc. designs  develops  manufactures  and markets various dental products and technologies  and other consumable dental products and equipment primarily for the professional dental,Healthcare
 Devon Energy Corporation  an independent energy company  primarily engages in the exploration  development  and production of oil  natural gas  and natural gas liquids in the,Energy
 Digital Realty supports the world's leading enterprises and service providers by delivering the full spectrum of data center  colocation and interconnection solutions. PlatformDIGITALR  the company's,Energy
 Discover Financial Services  through its subsidiaries  operates as a direct banking and payment services company in the United States. It operates in two segments  Direct,Finance & Investment
 Discovery  Inc. operates as a media company in the United States and internationally. The company operates in two segments  U.S. Networks and International Networks. The,Lifestyle & Consumer
 Discovery  Inc. operates as a media company in the United States and internationally. The company operates in two segments  U.S. Networks and International Networks. The,Lifestyle & Consumer
 DISH Network Corporation  together with its subsidiaries  provides pay-TV services in the United States. The company operates in two segments  Pay-TV and Wireless. It offers,Lifestyle & Consumer
 Dollar General Corporation  a discount retailer  provides various merchandise products in the southern  southwestern  Midwestern  and eastern United States. The company offers consumable products  including,Lifestyle & Consumer
 Dollar Tree  Inc. operates discount variety retail stores. It operates through two segments  Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at,Lifestyle & Consumer
 Dominion Energy  Inc. produces and transports energy. The company's Dominion Energy Virginia segment engages in the regulated electric generation  transmission  and distribution operations that serve,Energy
 Dover Corporation provides equipment and components  consumable supplies  aftermarket parts  software and digital solutions  and support services worldwide. The Engineered Products segment provides aftermarket vehicle,Lifestyle & Consumer
 General Mills  Inc. manufactures and markets branded consumer foods worldwide. The company operates in five segments: North America Retail; Convenience Stores & Foodservice; Europe &,Lifestyle & Consumer
 General Motors Company designs  builds  and sells cars  trucks  crossovers  and automobile parts worldwide. The company operates through GM North America  GM International  Cruise  and,Lifestyle & Consumer
 Genuine Parts Company distributes automotive replacement parts  industrial parts and materials  and business products in the United States  Canada  Mexico  Australasia  France  the United Kingdom ,Lifestyle & Consumer
 Gilead Sciences  Inc.  a research-based biopharmaceutical company  discovers  develops  and commercializes medicines in the areas of unmet medical needs in the United States  Europe  and,Healthcare
 Global Payments Inc. provides payment technology and software solutions for card  electronic  check  and digital-based payments in North America  Europe  the Asia-Pacific  and Latin America.,Data/Technology
 The Goldman Sachs Group  Inc. operates as an investment banking  securities  and investment management company worldwide. It operates in four segments: Investment Banking  Global Markets ,Finance & Investment
 The Goodyear Tire & Rubber Company  together with its subsidiaries  develops  manufactures  distributes  and sells tires and related products and services worldwide. It offers various,Lifestyle & Consumer
 W.W. Grainger  Inc. distributes maintenance  repair  and operating (MRO) products and services in the United States  Canada  and internationally. The company provides material handling equipment ,Lifestyle & Consumer
 Halliburton Company provides a range of services and products to oil and natural gas companies worldwide. The company's Completion and Production segment offers production enhancement,Energy
 Hanesbrands Inc.  a consumer goods company  designs  manufactures  sources  and sells a range of basic apparel for men  women  and children in the United States.,Lifestyle & Consumer
 Harley-Davidson  Inc. manufactures and sells custom  cruiser  and touring motorcycles. The company operates in two segments  Motorcycles and Related Products and Financial Services. The Motorcycles,Lifestyle & Consumer
